time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
13.8,0.087,-0.087,0.124,-0.128,0.0093,-0.0311,0.13,-0.12
13.85,0.035,-0.035,0.122,-0.121,-0.0427,0.0209,0.13,-0.12
13.9,0,0,0.111,-0.107,-0.0777,0.0559,0.11,-0.11
13.95,-0.035,0.035,0.093,-0.085,-0.1127,0.0909,0.09,-0.09
14,-0.07,0.052,0.068,-0.058,-0.1477,0.1079,0.07,-0.06
14.05,-0.087,0.087,0.038,-0.027,-0.1647,0.1429,0.03,-0.03
14.1,-0.087,0.087,0.006,0.005,-0.1647,0.1429,0,0
14.15,-0.087,0.087,-0.028,0.037,-0.1647,0.1429,-0.04,0.03
14.2,-0.07,0.07,-0.059,0.067,-0.1477,0.1259,-0.07,0.06
14.25,-0.035,0.052,-0.087,0.091,-0.1127,0.1079,-0.1,0.08
14.3,0,0.017,-0.109,0.109,-0.0777,0.0729,-0.12,0.1
14.35,0.052,-0.017,-0.124,0.12,-0.0257,0.0389,-0.13,0.11
14.4,0.087,-0.052,-0.13,0.122,0.0093,0.0039,-0.14,0.12
14.45,0.14,-0.087,-0.128,0.116,0.0623,-0.0311,-0.13,0.11
14.5,0.175,-0.122,-0.117,0.102,0.0973,-0.0661,-0.12,0.1
14.55,0.209,-0.157,-0.098,0.08,0.1313,-0.1011,-0.1,0.08
14.6,0.227,-0.175,-0.073,0.054,0.1493,-0.1191,-0.07,0.06
14.65,0.244,-0.192,-0.043,0.023,0.1663,-0.1361,-0.04,0.03
14.7,0.244,-0.209,-0.01,-0.009,0.1663,-0.1531,0,0
14.75,0.227,-0.192,0.024,-0.041,0.1493,-0.1361,0.03,-0.03
14.8,0.209,-0.175,0.056,-0.07,0.1313,-0.1191,0.06,-0.06
14.85,0.175,-0.157,0.084,-0.094,0.0973,-0.1011,0.09,-0.08
14.9,0.14,-0.122,0.106,-0.112,0.0623,-0.0661,0.11,-0.1
14.95,0.087,-0.087,0.121,-0.122,0.0093,-0.0311,0.13,-0.12
15,0.052,-0.052,0.127,-0.125,-0.0257,0.0039,0.13,-0.12
15.05,0,0,0.125,-0.119,-0.0777,0.0559,0.13,-0.12
15.1,-0.035,0.035,0.114,-0.105,-0.1127,0.0909,0.11,-0.11
15.15,-0.07,0.052,0.095,-0.084,-0.1477,0.1079,0.09,-0.09
15.2,-0.087,0.07,0.069,-0.058,-0.1647,0.1259,0.06,-0.07
15.25,-0.087,0.087,0.038,-0.028,-0.1647,0.1429,0.03,-0.04
15.3,-0.087,0.087,0.005,0.004,-0.1647,0.1429,0,-0.01
15.35,-0.07,0.07,-0.029,0.035,-0.1477,0.1259,-0.04,0.02
15.4,-0.035,0.052,-0.062,0.064,-0.1127,0.1079,-0.07,0.05
15.45,0,0.035,-0.09,0.088,-0.0777,0.0909,-0.1,0.08
15.5,0.035,0,-0.112,0.106,-0.0427,0.0559,-0.12,0.1
15.55,0.087,-0.052,-0.127,0.117,0.0093,0.0039,-0.13,0.11
15.6,0.122,-0.087,-0.133,0.119,0.0443,-0.0311,-0.14,0.12
15.65,0.175,-0.122,-0.13,0.113,0.0973,-0.0661,-0.13,0.11
15.7,0.209,-0.157,-0.119,0.1,0.1313,-0.1011,-0.12,0.1
15.75,0.227,-0.175,-0.099,0.079,0.1493,-0.1191,-0.09,0.09
15.8,0.244,-0.192,-0.073,0.054,0.1663,-0.1361,-0.07,0.06
15.85,0.244,-0.192,-0.042,0.024,0.1663,-0.1361,-0.03,0.03
15.9,0.227,-0.192,-0.008,-0.007,0.1493,-0.1361,0,0
15.95,0.209,-0.175,0.026,-0.038,0.1313,-0.1191,0.03,-0.03
16,0.175,-0.157,0.059,-0.067,0.0973,-0.1011,0.07,-0.06
16.05,0.14,-0.122,0.087,-0.091,0.0623,-0.0661,0.09,-0.08
16.1,0.105,-0.087,0.109,-0.109,0.0273,-0.0311,0.11,-0.1
16.15,0.052,-0.052,0.124,-0.119,-0.0257,0.0039,0.13,-0.12
16.2,0.017,-0.017,0.13,-0.122,-0.0607,0.0389,0.13,-0.12
16.25,-0.035,0.017,0.127,-0.117,-0.1127,0.0729,0.12,-0.12
16.3,-0.052,0.052,0.115,-0.104,-0.1297,0.1079,0.11,-0.11
16.35,-0.087,0.07,0.095,-0.084,-0.1647,0.1259,0.09,-0.09
16.4,-0.087,0.087,0.068,-0.058,-0.1647,0.1429,0.06,-0.07
